The Dataset,,,,,,,,,,,,,,,,,,,,,,,,,
min,"Delivery Time, y (min)","Number of Cases, x1","Distance, x2 (ft)",Column1,,,,,,,,,,,,,,,,,,,,,
1,16.68,7,560,,,,,,,,,,,,,,,,,,,,,,
2,11.5,3,220,,,,,,,,,,,,,,,,,,,,,,
3,12.03,3,340,,,,,,,,,,,,,,,,,,,,,,
4,14.88,4,80,,,,,,,,,,,,,,,,,,,,,,
5,13.75,6,150,,,,,,,,,,,,,,,,,,,,,,
6,18.11,7,330,,,,,,,,,,,,,,,,,,,,,,
7,8,2,110,,,,,,,,,,,,,,,,,,,,,,
8,17.83,7,210,,,,,,,,,,,,,,,,,,,,,,
9,79.24,30,1460,,,,,,,,,,,,,,,,,,,,,,
10,21.5,5,605,,,,,,,,,,,,,,,,,,,,,,
11,40.33,16,688,,,,,,,,,,,,,,,,,,,,,,
12,21,10,215,,,,,,,,,,,,,,,,,,,,,,
13,13.5,4,255,,,,,,,,,,,,,,,,,,,,,,
14,19.75,6,462,,,,,,,,,,,,,,,,,,,,,,
15,24,9,448,,,,,,,,,,,,,,,,,,,,,,
16,29,10,776,,,,,,,,,,,,,,,,,,,,,,
17,15.35,6,200,,,,,,,,,,,,,,,,,,,,,,
18,19,7,132,,,,,,,,,,,,,,,,,,,,,,
19,9.5,3,36,,,,,,,,,,,,,,,,,,,,,,
20,35.1,17,770,,,,,,,,,,,,,,,,,,,,,,
21,17.9,10,140,,,,,,,,,,,,,,,,,,,,,,
22,52.32,26,810,,,,,,,,,,,,,,,,,,,,,,
23,18.75,9,450,,,,,,,,,,,,,,,,,,,,,,
24,19.83,8,635,,,,,,,,,,,,,,,,,,,,,,
25,10.75,4,150,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,,,,,,,,,,,,,,,,,,,,
X matrix,,,,,Y,,,,,,,,,,,,,,,,,,,,
,1,7,560,,16.68,,,,,,,,,,,,,,,,,,,,
,1,3,220,,11.5,,,,,,,,,,,,,,,,,,,,
,1,3,340,,12.03,,,,,,,,,,,,,,,,,,,,
,1,4,80,,14.88,,,,,,,,,,,,,,,,,,,,
,1,6,150,,13.75,,,,,,,,,,,,,,,,,,,,
,1,7,330,,18.11,,,,,,,,,,,,,,,,,,,,
,1,2,110,,8,,,,,,,,,,,,,,,,,,,,
,1,7,210,,17.83,,,,,,,,,,,,,,,,,,,,
,1,30,1460,,79.24,,,,,,,,,,,,,,,,,,,,
,1,5,605,,21.5,,,,,,,,,,,,,,,,,,,,
,1,16,688,,40.33,,,,,,,,,,,,,,,,,,,,
,1,10,215,,21,,,,,,,,,,,,,,,,,,,,
,1,4,255,,13.5,,,,,,,,,,,,,,,,,,,,
,1,6,462,,19.75,,,,,,,,,,,,,,,,,,,,
,1,9,448,,24,,,,,,,,,,,,,,,,,,,,
,1,10,776,,29,,,,,,,,,,,,,,,,,,,,
